,Game,Year,Genre,North America,Europe,Japan,Rest of World,Global
257,Zombie Army Trilogy,2015.0,Shooter,0.05,0.05,0.0,0.01,0.12
258,Prototype: Biohazard Bundle,2016.0,Action,0.1,0.0,0.0,0.01,0.11
259,Ride,2015.0,Racing,0.05,0.05,0.0,0.01,0.11
260,Agents of Mayhem,2017.0,Action,0.07,0.03,0.0,0.01,0.11
261,Metal Gear Solid V: The Definitive Experience,2016.0,Action,0.1,0.0,0.0,0.01,0.11
262,Killer Instinct (2013),2014.0,Fighting,0.07,0.03,0.0,0.01,0.11
263,MXGP 2,2016.0,Racing,0.07,0.02,0.0,0.01,0.1
264,NASCAR Heat Evolution,2016.0,Racing,0.09,0.0,0.0,0.01,0.1
265,TrackMania Turbo,2016.0,Racing,0.05,0.04,0.0,0.01,0.1
266,Divinity: Original Sin,2015.0,Role-Playing,0.06,0.03,0.0,0.01,0.1
267,Dead or Alive 5,2015.0,Fighting,0.05,0.03,0.01,0.01,0.1
268,Pro Evolution Soccer 2017,2016.0,Sports,0.05,0.03,0.0,0.01,0.1
269,Resident Evil Zero,2016.0,Action-Adventure,0.07,0.02,0.0,0.01,0.1
270,Sword Art Online: Fatal Bullet,2018.0,Role-Playing,0.09,0.0,0.0,0.01,0.1
271,Yooka-Laylee,2017.0,Platform,0.05,0.04,0.0,0.01,0.1
272,Real Farm,2017.0,Simulation,0.08,0.0,0.0,0.01,0.1
273,We Happy Few,2018.0,Action-Adventure,0.07,0.01,0.0,0.01,0.09
274,Duke Nukem 3D: 20th Anniversary World Tour,2016.0,Shooter,0.08,0.0,0.0,0.01,0.09
275,The Wolf Among Us,2014.0,Adventure,0.06,0.02,0.0,0.01,0.09
276,Attack on Titan 2,2018.0,Action,0.08,0.0,0.0,0.01,0.09
277,Rugby 15,2015.0,Sports,0.03,0.05,0.0,0.01,0.09
278,MXGP 3: The Official Motocross Videogame,2017.0,Racing,0.06,0.02,0.0,0.01,0.09
279,Bladestorm: Nightmare,2015.0,Action,0.06,0.02,0.0,0.01,0.08
280,Monster Energy Supercross - The Official Videogame,2018.0,Racing,0.08,0.0,0.0,0.01,0.08
281,America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,2017.0,Misc,0.08,0.0,0.0,0.01,0.08
282,Dead Island Definitive Collection,2016.0,Action,0.05,0.03,0.0,0.01,0.08
283,Ride 2,2016.0,Racing,0.06,0.01,0.0,0.01,0.08
284,Elite: Dangerous,2017.0,Simulation,0.07,0.0,0.0,0.01,0.08
285,Just Dance: Disney Party 2,2015.0,Music,0.06,0.01,0.0,0.01,0.08
286,Bulletstorm: Full Clip Edition,2017.0,Shooter,0.06,0.01,0.0,0.01,0.08
287,Micro Machines: World Series,2017.0,Racing,0.02,0.05,0.0,0.01,0.08
288,Darksiders II,2015.0,Action-Adventure,0.05,0.03,0.0,0.01,0.08
289,Sherlock Holmes: Crimes & Punishments,2014.0,Adventure,0.03,0.04,0.0,0.01,0.08
290,Toy Soldiers: War Chest,2015.0,Action,0.07,0.0,0.0,0.01,0.08
291,BlazBlue: Chrono Phantasma Extend,2015.0,Fighting,0.06,0.01,0.0,0.01,0.08
292,Metal Gear Survive,2018.0,Action,0.05,0.01,0.0,0.01,0.08
293,The Golf Club,2015.0,Sports,0.07,0.0,0.0,0.01,0.07
294,Batman: A Telltale Game Series,2016.0,Adventure,0.06,0.01,0.0,0.01,0.07
295,Constructor HD,2017.0,Strategy,0.07,0.0,0.0,0.01,0.07
296,Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016.0,Action,0.05,0.01,0.0,0.01,0.07
297,Valentino Rossi: The Game,2016.0,Racing,0.05,0.02,0.0,0.01,0.07
298,Disneyland Adventures,2017.0,Action-Adventure,0.05,0.01,0.0,0.01,0.07
299,Dynasty Warriors 8: Empires,2014.0,Action,0.04,0.02,0.0,0.01,0.07
300,Resident Evil 6,2016.0,Shooter,0.06,0.0,0.0,0.01,0.07
301,Ghostbusters (2016),2016.0,Action,0.06,0.0,0.0,0.01,0.07
302,R.B.I. Baseball 2017,2017.0,Sports,0.06,0.0,0.0,0.01,0.07
303,Aven Colony,2017.0,Strategy,0.06,0.0,0.0,0.01,0.06
304,Adventure Time: Finn & Jake Investigations,2015.0,Action,0.04,0.02,0.0,0.01,0.06
305,Atari Flashback Classics: Volume 1,2016.0,Misc,0.06,0.0,0.0,0.01,0.06
306,MotoGP 17,2017.0,Racing,0.04,0.02,0.0,0.01,0.06
307,Wasteland 2,2015.0,Role-Playing,0.05,0.01,0.0,0.01,0.06
308,MX vs ATV Supercross Encore 2017 Track Edition,2017.0,Racing,0.05,0.0,0.0,0.01,0.06
309,Cartoon Network Battle Crashers,2016.0,Action,0.05,0.01,0.0,0.01,0.06
310,Hasbro Family Fun Pack Conquest Edition,2016.0,Misc,0.05,0.0,0.0,0.01,0.06
311,Sherlock Holmes: The Devil's Daughter,2016.0,Adventure,0.05,0.0,0.0,0.01,0.06
312,MX vs. ATV Supercross Encore,2015.0,Sports,0.05,0.0,0.0,0.01,0.06
313,Killing Floor 2Ê,2017.0,Shooter,0.05,0.0,0.0,0.01,0.06
314,R.B.I. Baseball 2016,2016.0,Sports,0.05,0.0,0.0,0.01,0.06
315,Okami,2017.0,Action,0.05,0.0,0.0,0.01,0.06
316,Rapala Fishing Pro Series,2017.0,Simulation,0.05,0.0,0.0,0.01,0.06
317,Arslan: The Warriors of Legend,2016.0,Action,0.05,0.0,0.0,0.01,0.06
